rounding_type,rounding_p,diff,round_corpus,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,NDCG@1000,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,MAP@1000,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,Recall@1000,P@1,P@3,P@5,P@10,P@100,P@1000
round,1,1.0,True,0.7787,0.82176,0.83935,0.85471,0.87054,0.87206,0.67538,0.78132,0.80039,0.81256,0.81984,0.82004,0.67538,0.84261,0.89117,0.93576,0.99141,0.99925,0.7787,0.35877,0.2373,0.13067,0.0152,0.00156
round,1,1.0,False,0.7917,0.83506,0.85225,0.86636,0.88089,0.88213,0.68762,0.79523,0.81457,0.82614,0.83327,0.83344,0.68762,0.85459,0.90234,0.9434,0.99349,0.99965,0.7917,0.36483,0.24118,0.13232,0.01527,0.00157
round,2,0.5,True,0.0221,0.02744,0.0297,0.03248,0.04179,0.05982,0.0188,0.02446,0.02585,0.02704,0.02859,0.02911,0.0188,0.0311,0.03686,0.0452,0.08996,0.23045,0.0221,0.01253,0.0091,0.00579,0.00123,0.00033
round,2,0.5,False,0.0267,0.03456,0.03955,0.04466,0.06168,0.08289,0.02345,0.03114,0.03414,0.03636,0.03945,0.04016,0.02345,0.03994,0.05186,0.06691,0.14602,0.30785,0.0267,0.0159,0.01266,0.00847,0.00207,0.00045
round,3,0.33333333333333337,True,0.7784,0.82145,0.83928,0.8546,0.87045,0.87196,0.67505,0.78108,0.80027,0.81242,0.8197,0.8199,0.67505,0.84227,0.89125,0.93569,0.9915,0.99924,0.7784,0.35853,0.2373,0.13067,0.0152,0.00156
round,3,0.33333333333333337,False,0.7912,0.83481,0.85201,0.86618,0.88071,0.88196,0.68718,0.79499,0.81432,0.82594,0.83307,0.83324,0.68718,0.85454,0.90218,0.94336,0.99346,0.99965,0.7912,0.36473,0.24114,0.13234,0.01527,0.00157
round,4,0.25,True,0.7476,0.79513,0.81323,0.8295,0.8477,0.85003,0.64886,0.75421,0.77297,0.78485,0.79238,0.79264,0.64886,0.81936,0.86932,0.91747,0.98432,0.99694,0.7476,0.34887,0.23104,0.12736,0.01496,0.00156
round,4,0.25,False,0.7755,0.82146,0.8398,0.85531,0.87044,0.87196,0.67396,0.78144,0.80105,0.81302,0.82019,0.82039,0.67396,0.84321,0.89342,0.93874,0.99158,0.99939,0.7755,0.36013,0.23866,0.13123,0.01519,0.00156
round,5,0.19999999999999998,True,0.7837,0.82504,0.84298,0.8583,0.87368,0.8751,0.6803,0.78533,0.80464,0.8168,0.82394,0.82413,0.6803,0.84444,0.89362,0.93805,0.99211,0.99937,0.7837,0.35967,0.23804,0.13113,0.01522,0.00156
round,5,0.19999999999999998,False,0.7928,0.83675,0.85366,0.86751,0.8818,0.88303,0.6881,0.79685,0.81597,0.82742,0.83452,0.83469,0.6881,0.857,0.90376,0.9445,0.9936,0.99975,0.7928,0.36617,0.24196,0.13254,0.01527,0.00157
round,6,0.16666666666666669,True,0.7823,0.82666,0.84327,0.85908,0.87389,0.87543,0.6793,0.78645,0.80508,0.81752,0.82459,0.8248,0.6793,0.84718,0.89416,0.93993,0.99148,0.99928,0.7823,0.36177,0.23846,0.13147,0.0152,0.00156
round,6,0.16666666666666669,False,0.7965,0.83829,0.85561,0.86982,0.88357,0.8847,0.69034,0.79868,0.81796,0.82966,0.83659,0.83675,0.69034,0.85703,0.90566,0.94667,0.99428,0.99971,0.7965,0.36667,0.24214,0.13299,0.01529,0.00157
round,7,0.14285714285714288,True,0.7902,0.83243,0.84952,0.86391,0.87869,0.87998,0.68631,0.79252,0.81159,0.82329,0.83045,0.83063,0.68631,0.85155,0.89988,0.9416,0.993,0.99948,0.7902,0.3641,0.2402,0.13207,0.01525,0.00156
round,7,0.14285714285714288,False,0.7975,0.84021,0.85662,0.87101,0.88466,0.88588,0.69248,0.8008,0.81961,0.83145,0.83833,0.8385,0.69248,0.85874,0.90543,0.94708,0.99374,0.99977,0.7975,0.36783,0.24234,0.13314,0.01527,0.00157
round,8,0.125,True,0.7934,0.83477,0.85225,0.86666,0.88102,0.88221,0.68754,0.79484,0.81431,0.82594,0.83306,0.83323,0.68754,0.85357,0.90236,0.94407,0.99392,0.9996,0.7934,0.3647,0.241,0.13236,0.01526,0.00157
round,8,0.125,False,0.8014,0.84272,0.85935,0.87331,0.88686,0.88792,0.69538,0.80345,0.82237,0.83403,0.84092,0.84107,0.69538,0.86071,0.90777,0.94793,0.99465,0.99971,0.8014,0.36853,0.24282,0.13335,0.0153,0.00157
round,9,0.1111111111111111,True,0.7929,0.83468,0.85298,0.86745,0.88109,0.88233,0.68742,0.79494,0.81466,0.82659,0.83345,0.83362,0.68742,0.85356,0.90442,0.94672,0.99354,0.99974,0.7929,0.3654,0.24182,0.13286,0.01527,0.00157
round,9,0.1111111111111111,False,0.7977,0.84103,0.85844,0.87185,0.88533,0.8865,0.69246,0.80135,0.82095,0.83232,0.83916,0.83933,0.69246,0.86007,0.90884,0.94772,0.99406,0.99979,0.7977,0.36847,0.24338,0.13336,0.01529,0.00157
round,10,0.09999999999999999,True,0.7948,0.83813,0.855,0.86856,0.88276,0.88394,0.68927,0.798,0.81723,0.82854,0.83558,0.83575,0.68927,0.85799,0.9053,0.94488,0.99385,0.9996,0.7948,0.36707,0.24226,0.13265,0.01528,0.00157
round,10,0.09999999999999999,False,0.8045,0.84395,0.86058,0.87484,0.88795,0.88906,0.698,0.80495,0.82388,0.83571,0.84243,0.84258,0.698,0.86114,0.90787,0.94937,0.99435,0.9998,0.8045,0.3688,0.24324,0.13357,0.0153,0.00157
round,12,0.08333333333333334,True,0.7958,0.84056,0.85619,0.87059,0.88407,0.88537,0.69055,0.80071,0.81884,0.8308,0.83761,0.83779,0.69055,0.86089,0.90538,0.94719,0.99331,0.99978,0.7958,0.36867,0.24242,0.13312,0.01527,0.00157
round,12,0.08333333333333334,False,0.8032,0.84441,0.8609,0.87455,0.88775,0.88892,0.69709,0.80504,0.82399,0.83549,0.84227,0.84244,0.69709,0.8624,0.90915,0.94903,0.99413,0.9998,0.8032,0.36967,0.2436,0.1334,0.01528,0.00157
round,15,0.06666666666666667,True,0.7982,0.84199,0.85776,0.87211,0.88549,0.88663,0.69275,0.80207,0.82053,0.83243,0.83923,0.8394,0.69275,0.86184,0.90687,0.94814,0.99429,0.99979,0.7982,0.36917,0.24276,0.1334,0.01529,0.00157
round,15,0.06666666666666667,False,0.8021,0.84401,0.86068,0.87441,0.88766,0.88875,0.69632,0.80445,0.82364,0.83523,0.84201,0.84218,0.69632,0.8622,0.90925,0.94907,0.9946,0.99981,0.8021,0.36943,0.2435,0.13356,0.01529,0.00157
round,20,0.049999999999999996,True,0.8031,0.8429,0.86026,0.87425,0.88742,0.88854,0.69675,0.80389,0.82341,0.83502,0.84182,0.84198,0.69675,0.86012,0.90864,0.94928,0.99434,0.99981,0.8031,0.36857,0.24336,0.13354,0.0153,0.00157
round,20,0.049999999999999996,False,0.8037,0.844,0.86092,0.87503,0.88798,0.88908,0.69704,0.80471,0.824,0.83574,0.84245,0.84261,0.69704,0.86162,0.90919,0.95019,0.9945,0.99981,0.8037,0.3692,0.24354,0.13371,0.0153,0.00157
guass,1,1.0,True,0.0002,0.00023,0.00022,0.00026,0.00095,0.00346,0.0002,0.00021,0.00021,0.00023,0.00031,0.00036,0.0002,0.00022,0.00022,0.00033,0.00404,0.02435,0.0002,0.0001,6e-05,5e-05,5e-05,3e-05
